data,valor
1986-01-08,40.85
1986-01-09,45.06
1986-01-10,45.08
1986-01-11,89.86
1986-01-12,213.99
1987-01-01,415.99
1987-01-02,1158.46
1987-01-03,421.38
1987-01-04,675.2
1987-01-05,1683.53
1987-01-06,697.76
1987-01-07,169.46
1987-01-08,165.65
1987-01-09,172.98
1987-01-10,228.29
1987-01-11,406.29
1987-01-12,426.9
1988-01-01,640.88
1988-01-02,865.88
1988-01-03,498.79
1988-01-04,1050.8
1988-01-05,764.56
1988-01-06,724.42
1988-01-07,1285.38
1988-01-08,838.88
1988-01-09,1499.04
1988-01-10,2976.52
1988-01-11,1820.1
1988-01-12,1925.86
1989-01-01,1384.29
1989-01-02,1090.62
1989-01-03,843.19
1989-01-04,322.12
1989-01-05,273.02
1989-01-06,1492.72
1989-01-07,2897.02
1989-01-08,2668.86
1989-01-09,5875.54
1989-01-10,10283.44
1989-01-11,13956.4
1989-01-12,51689.76
1990-01-01,38596.65
1990-01-02,372919.82
1990-01-03,6031.25
1990-01-04,93.98
1990-01-05,93.62
1990-01-06,209.55
1990-01-07,364.25
1990-01-08,268.81
1990-01-09,749.03
1990-01-10,983.79
1990-01-11,1265.14
1990-01-12,2992.94
1991-01-01,1017.76
1991-01-02,245.16
1991-01-03,254.36
1991-01-04,284.99
1991-01-05,317.21
1991-01-06,258.29
1991-01-07,291.43
1991-01-08,445.96
1991-01-09,792.24
1991-01-10,1168.6
1991-01-11,3198.84
1991-01-12,3299.77
1992-01-01,1759.02
1992-01-02,2712.47
1992-01-03,1871.34
1992-01-04,1588.98
1992-01-05,1249.21
1992-01-06,1252.81
1992-01-07,1192.29
1992-01-08,1460.27
1992-01-09,1771.17
1992-01-10,1869.93
1992-01-11,1756.6
1992-01-12,1750.09
1993-01-01,2320.59
1993-01-02,4043.67
1993-01-03,1465.3
1993-01-04,3275.2
1993-01-05,2437.07
1993-01-06,2648.03
1993-01-07,2474.43
1993-01-08,2958.05
1993-01-09,4439.72
1993-01-10,5894.89
1993-01-11,5721.87
1993-01-12,5890.45
1994-01-01,7367.3
1994-01-02,16994.73
1994-01-03,8138.42
1994-01-04,14986.48
1994-01-05,8899.68
1994-01-06,11336.28
1994-01-07,125.79
1994-01-08,56.35
1994-01-09,57.29
1994-01-10,60.98
1994-01-11,66.12
1994-01-12,53.92
1995-01-01,47.89
1995-01-02,56.22
1995-01-03,60.42
1995-01-04,84.54
1995-01-05,61.44
1995-01-06,61.02
1995-01-07,60.27
1995-01-08,50.58
1995-01-09,49.68
1995-01-10,43.52
1995-01-11,42.28
1995-01-12,40.34
1996-01-01,33.58
1996-01-02,35.32
1996-01-03,29.81
1996-01-04,28.88
1996-01-05,25.53
1996-01-06,29.04
1996-01-07,23.08
1996-01-08,24.8
1996-01-09,25.11
1996-01-10,23.46
1996-01-11,25.12
1996-01-12,23.74
1997-01-01,21.86
1997-01-02,25.93
1997-01-03,23.85
1997-01-04,21.79
1997-01-05,21.81
1997-01-06,20.87
1997-01-07,19.07
1997-01-08,20.71
1997-01-09,19.69
1997-01-10,20.05
1997-01-11,44.86
1997-01-12,38.98
1998-01-01,37.13
1998-01-02,33.9
1998-01-03,28.03
1998-01-04,24.97
1998-01-05,22.56
1998-01-06,20.94
1998-01-07,20.21
1998-01-08,19.17
1998-01-09,34.37
1998-01-10,41.34
1998-01-11,37.77
1998-01-12,30.89
1999-01-01,31.13
1999-01-02,38.42
1999-01-03,42.5
1999-01-04,34.77
1999-01-05,26.22
1999-01-06,21.48
1999-01-07,20.25
1999-01-08,19.22
1999-01-09,19.11
1999-01-10,18.77
1999-01-11,18.74
1999-01-12,18.77
2000-01-01,18.73
2000-01-02,18.72
2000-01-03,18.7
2000-01-04,18.43
2000-01-05,18.44
2000-01-06,17.95
2000-01-07,16.79
2000-01-08,16.39
2000-01-09,16.47
2000-01-10,16.48
2000-01-11,16.44
2000-01-12,16.13
2001-01-01,15.4
2001-01-02,15.1
2001-01-03,15.29
2001-01-04,15.93
2001-01-05,16.4
2001-01-06,17.28
2001-01-07,18.61
2001-01-08,19.01
2001-01-09,19.04
2001-01-10,19.05
2001-01-11,19.05
2001-01-12,19.05
2002-01-01,19.02
2002-01-02,18.95
2002-01-03,18.7
2002-01-04,18.37
2002-01-05,18.21
2002-01-06,17.82
2002-01-07,18.15
2002-01-08,17.87
2002-01-09,17.89
2002-01-10,19.53
2002-01-11,21.14
2002-01-12,22.91
2003-01-01,24.98
2003-01-02,25.63
2003-01-03,26.25
2003-01-04,26.23
2003-01-05,26.22
2003-01-06,25.99
2003-01-07,25.24
2003-01-08,23.36
2003-01-09,20.88
2003-01-10,19.42
2003-01-11,18.23
2003-01-12,16.81
2004-01-01,16.22
2004-01-02,16.22
2004-01-03,16.13
2004-01-04,15.85
2004-01-05,15.73
2004-01-06,15.71
2004-01-07,15.71
2004-01-08,15.76
2004-01-09,15.99
2004-01-10,16.34
2004-01-11,16.93
2004-01-12,17.46
2005-01-01,17.92
2005-01-02,18.44
2005-01-03,18.89
2005-01-04,19.26
2005-01-05,19.57
2005-01-06,19.73
2005-01-07,19.7
2005-01-08,19.68
2005-01-09,19.56
2005-01-10,19.19
2005-01-11,18.8
2005-01-12,18.15
2006-01-01,17.6
2006-01-02,17.2
2006-01-03,16.69
2006-01-04,16.15
2006-01-05,15.66
2006-01-06,15.15
2006-01-07,14.94
2006-01-08,14.6
2006-01-09,14.11
2006-01-10,13.89
2006-01-11,13.6
2006-01-12,13.14
2007-01-01,13.07
2007-01-02,12.89
2007-01-03,12.69
